empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CREG|49|NASDAQ|2020|01|16|15|30|464400|0.4|0.37|0.37|0.37|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|50|NASDAQ|2020|01|15|15|30|753100|0.41|0.37|0.39|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|51|NASDAQ|2020|01|14|15|30|1011800|0.47|0.38|0.39|0.43|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|52|NASDAQ|2020|01|13|15|30|1304400|0.44|0.36|0.42|0.36|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|53|NASDAQ|2020|01|10|15|30|1268900|0.39|0.33|0.35|0.39|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|54|NASDAQ|2020|01|09|15|30|825600|0.42|0.38|0.38|0.39|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|55|NASDAQ|2020|01|08|15|30|1823600|0.45|0.35|0.41|0.37|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|56|NASDAQ|2020|01|07|15|30|265200|0.37|0.33|0.36|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|57|NASDAQ|2020|01|06|15|30|358100|0.37|0.33|0.34|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|58|NASDAQ|2020|01|03|15|30|844100|0.36|0.33|0.35|0.33|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|59|NASDAQ|2020|01|02|15|30|1162100|0.34|0.29|0.32|0.29|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|60|NASDAQ|2019|12|31|15|30|764100|0.31|0.28|0.28|0.28|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|61|NASDAQ|2019|12|30|15|30|285600|0.29|0.26|0.28|0.26|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|62|NASDAQ|2019|12|27|15|30|254200|0.29|0.26|0.27|0.29|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|63|NASDAQ|2019|12|26|15|30|236400|0.29|0.27|0.27|0.27|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|64|NASDAQ|2019|12|24|15|30|164700|0.28|0.26|0.27|0.28|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|65|NASDAQ|2019|12|23|15|30|268100|0.29|0.27|0.28|0.28|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|66|NASDAQ|2019|12|20|15|30|229000|0.3|0.28|0.28|0.29|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|67|NASDAQ|2019|12|19|15|30|315700|0.3|0.28|0.29|0.28|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|68|NASDAQ|2019|12|18|15|30|430800|0.3|0.28|0.28|0.3|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|69|NASDAQ|2019|12|17|15|30|837200|0.31|0.28|0.3|0.31|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|70|NASDAQ|2019|12|16|15|30|695000|0.32|0.27|0.29|0.32|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|71|NASDAQ|2019|12|13|15|30|3824900|0.36|0.27|0.3|0.29|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|72|NASDAQ|2019|12|12|15|30|316600|0.25|0.22|0.24|0.24|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|73|NASDAQ|2019|12|11|15|30|297100|0.26|0.23|0.25|0.25|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|74|NASDAQ|2019|12|10|15|30|347600|0.27|0.24|0.25|0.26|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|75|NASDAQ|2019|12|09|15|30|279200|0.26|0.24|0.25|0.24|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|76|NASDAQ|2019|12|06|15|30|389200|0.27|0.24|0.24|0.26|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|77|NASDAQ|2019|12|05|15|30|1197400|0.28|0.23|0.26|0.24|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|78|NASDAQ|2019|12|04|15|30|896100|0.25|0.21|0.23|0.22|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|79|NASDAQ|2019|12|03|15|30|329300|0.22|0.19|0.21|0.22|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|80|NASDAQ|2019|12|02|15|30|680600|0.23|0.2|0.22|0.23|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|81|NASDAQ|2019|11|29|15|30|466000|0.21|0.18|0.2|0.2|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|82|NASDAQ|2019|11|27|15|30|418700|0.21|0.19|0.19|0.2|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|83|NASDAQ|2019|11|26|15|30|835900|0.23|0.19|0.2|0.23|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|84|NASDAQ|2019|11|25|15|30|2680100|0.31|0.16|0.21|0.31|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|85|NASDAQ|2019|11|22|15|30|91300|0.32|0.3|0.3|0.32|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|86|NASDAQ|2019|11|21|15|30|284700|0.32|0.3|0.31|0.3|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|87|NASDAQ|2019|11|20|15|30|158700|0.32|0.3|0.3|0.32|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|88|NASDAQ|2019|11|19|15|30|274500|0.34|0.3|0.31|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|89|NASDAQ|2019|11|18|15|30|161800|0.35|0.33|0.33|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|90|NASDAQ|2019|11|15|15|30|236600|0.36|0.33|0.33|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|91|NASDAQ|2019|11|14|15|30|157500|0.34|0.32|0.32|0.33|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|92|NASDAQ|2019|11|13|15|30|289500|0.34|0.32|0.33|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|93|NASDAQ|2019|11|12|15|30|351500|0.36|0.33|0.34|0.36|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|94|NASDAQ|2019|11|11|15|30|187800|0.38|0.34|0.35|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|95|NASDAQ|2019|11|08|15|30|143000|0.37|0.35|0.36|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|96|NASDAQ|2019|11|07|15|30|917400|0.42|0.3|0.35|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|97|NASDAQ|2019|11|06|15|30|309600|0.4|0.35|0.35|0.4|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|98|NASDAQ|2019|11|05|15|30|1111900|0.43|0.36|0.39|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|99|NASDAQ|2019|11|04|15|30|252000|0.39|0.34|0.38|0.37|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|100|NASDAQ|2019|11|01|14|30|132600|0.36|0.34|0.35|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|101|NASDAQ|2019|10|31|14|30|157400|0.35|0.33|0.33|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|102|NASDAQ|2019|10|30|14|30|116300|0.36|0.33|0.34|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|103|NASDAQ|2019|10|29|14|30|206000|0.38|0.34|0.35|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|104|NASDAQ|2019|10|28|14|30|146100|0.39|0.36|0.36|0.39|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|105|NASDAQ|2019|10|25|15|30|139400|0.41|0.36|0.39|0.37|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|106|NASDAQ|2019|10|24|15|30|101300|0.39|0.35|0.38|0.39|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|107|NASDAQ|2019|10|23|15|30|67900|0.39|0.36|0.39|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|108|NASDAQ|2019|10|22|15|30|66200|0.39|0.36|0.38|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|109|NASDAQ|2019|10|21|15|30|93100|0.38|0.36|0.37|0.37|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|110|NASDAQ|2019|10|18|15|30|268600|0.38|0.35|0.36|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|111|NASDAQ|2019|10|17|15|30|231000|0.44|0.38|0.39|0.43|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|112|NASDAQ|2019|10|16|15|30|375600|0.44|0.4|0.41|0.4|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|113|NASDAQ|2019|10|15|15|30|1866000|0.5|0.35|0.45|0.38|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|114|NASDAQ|2019|10|14|15|30|881900|0.42|0.33|0.36|0.42|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|115|NASDAQ|2019|10|11|15|30|668700|0.4|0.31|0.37|0.31|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|116|NASDAQ|2019|10|10|15|30|120300|0.34|0.32|0.33|0.33|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|117|NASDAQ|2019|10|09|15|30|35300|0.35|0.31|0.33|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|118|NASDAQ|2019|10|08|15|30|21600|0.35|0.32|0.34|0.35|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|119|NASDAQ|2019|10|07|15|30|120500|0.35|0.31|0.35|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|120|NASDAQ|2019|10|04|15|30|36400|0.35|0.32|0.34|0.33|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|121|NASDAQ|2019|10|03|15|30|29200|0.34|0.32|0.32|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|122|NASDAQ|2019|10|02|15|30|98300|0.34|0.31|0.32|0.33|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|123|NASDAQ|2019|10|01|15|30|80400|0.38|0.34|0.34|0.34|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
CREG|124|NASDAQ|2019|09|30|15|30|136800|0.42|0.34|0.34|0.4|wastemanagement|28.66|1.3|1.3|-|-|108|china|0.66|0.03|-|Apr 03 BMO|industrialgoods|3|3.83
