empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
IGF|17|NASDAQ|2020|03|04|15|30|392100|46.880001|45.720001|46.880001|45.810001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|18|NASDAQ|2020|03|03|15|30|2061000|46.380001|44.91|45|45.57|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|19|NASDAQ|2020|03|02|15|30|1582900|45.540001|44.07|45.52|44.220001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|20|NASDAQ|2020|02|28|15|30|546800|44.259998|42.990002|44.139999|43.810001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|21|NASDAQ|2020|02|27|15|30|386600|46.549999|45.060001|45.060001|46.34|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|22|NASDAQ|2020|02|26|15|30|336600|47.470001|46.759998|46.779999|47.150002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|23|NASDAQ|2020|02|25|15|30|567800|48.380001|46.98|47.060001|48.330002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|24|NASDAQ|2020|02|24|15|30|420800|48.639999|48.209999|48.209999|48.380001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|25|NASDAQ|2020|02|21|15|30|220600|49.810001|49.580002|49.610001|49.619999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|26|NASDAQ|2020|02|20|15|30|208500|49.830002|49.490002|49.669998|49.66|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|27|NASDAQ|2020|02|19|15|30|191600|49.93|49.82|49.849998|49.919998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|28|NASDAQ|2020|02|18|15|30|204400|49.860001|49.669998|49.849998|49.700001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|29|NASDAQ|2020|02|14|15|30|116600|49.77|49.549999|49.740002|49.59|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|30|NASDAQ|2020|02|13|15|30|473700|49.419998|49.18|49.389999|49.220001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|31|NASDAQ|2020|02|12|15|30|273300|49.470001|49.34|49.419998|49.470001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|32|NASDAQ|2020|02|11|15|30|603100|49.48|49.259998|49.419998|49.259998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|33|NASDAQ|2020|02|10|15|30|145800|49.080002|48.869999|49.049999|48.939999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|34|NASDAQ|2020|02|07|15|30|300700|49.220001|48.950001|48.990002|49.16|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|35|NASDAQ|2020|02|06|15|30|468000|49.419998|49.25|49.279999|49.360001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|36|NASDAQ|2020|02|05|15|30|134200|49.380001|49.209999|49.310001|49.220001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|37|NASDAQ|2020|02|04|15|30|406700|49.209999|48.93|49.02|49.09|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|38|NASDAQ|2020|02|03|15|30|202300|48.790001|48.630001|48.700001|48.720001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|39|NASDAQ|2020|01|31|15|30|434700|48.779999|48.360001|48.5|48.779999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|40|NASDAQ|2020|01|30|15|30|233300|48.990002|48.5|48.950001|48.599998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|41|NASDAQ|2020|01|29|15|30|601200|48.98|48.779999|48.939999|48.93|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|42|NASDAQ|2020|01|28|15|30|157200|48.91|48.650002|48.900002|48.650002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|43|NASDAQ|2020|01|27|15|30|234400|48.560001|48.259998|48.34|48.41|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|44|NASDAQ|2020|01|24|15|30|288800|49.189999|48.84|49.009998|49.110001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|45|NASDAQ|2020|01|23|15|30|168100|49.099998|48.759998|49.099998|48.790001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|46|NASDAQ|2020|01|22|15|30|214500|49.099998|48.91|48.959999|48.990002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|47|NASDAQ|2020|01|21|15|30|248500|48.990002|48.779999|48.889999|48.93|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|48|NASDAQ|2020|01|17|15|30|319100|49.189999|48.939999|49.189999|49.049999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|49|NASDAQ|2020|01|16|15|30|290800|49.029999|48.880001|49.02|48.919998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|50|NASDAQ|2020|01|15|15|30|334300|48.779999|48.419998|48.779999|48.419998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|51|NASDAQ|2020|01|14|15|30|170400|48.439999|48.240002|48.41|48.32|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|52|NASDAQ|2020|01|13|15|30|150800|48.299999|47.970001|48.299999|48.029999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|53|NASDAQ|2020|01|10|15|30|153600|48.110001|47.919998|47.970001|47.950001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|54|NASDAQ|2020|01|09|15|30|154800|47.860001|47.619999|47.860001|47.740002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|55|NASDAQ|2020|01|08|15|30|164400|47.880001|47.509998|47.779999|47.66|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|56|NASDAQ|2020|01|07|15|30|176200|47.599998|47.419998|47.560001|47.59|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|57|NASDAQ|2020|01|06|15|30|220900|47.75|47.5|47.68|47.52|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|58|NASDAQ|2020|01|03|15|30|312000|47.720001|47.41|47.52|47.41|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|59|NASDAQ|2020|01|02|15|30|208900|48.09|47.650002|47.82|48.09|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|60|NASDAQ|2019|12|31|15|30|279500|47.959999|47.73|47.91|47.740002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|61|NASDAQ|2019|12|30|15|30|87100|48.169998|47.779999|47.779999|47.919998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|62|NASDAQ|2019|12|27|15|30|190300|48.209999|48.07|48.080002|48.16|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|63|NASDAQ|2019|12|26|15|30|344300|48.02|47.849998|47.990002|47.860001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|64|NASDAQ|2019|12|24|15|30|458100|47.860001|47.689999|47.860001|47.790001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|65|NASDAQ|2019|12|23|15|30|396500|48.02|47.700001|47.779999|48.009998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|66|NASDAQ|2019|12|20|15|30|350700|47.970001|47.580002|47.970001|47.720001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|67|NASDAQ|2019|12|19|15|30|137200|47.669998|47.5|47.669998|47.59|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|68|NASDAQ|2019|12|18|15|30|230600|47.68|47.509998|47.66|47.57|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|69|NASDAQ|2019|12|17|15|30|538000|47.689999|47.450001|47.619999|47.540001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|70|NASDAQ|2019|12|16|15|30|276300|47.419998|47.130001|47.419998|47.23|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|71|NASDAQ|2019|12|13|15|30|166800|47.73|47.450001|47.720001|47.580002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|72|NASDAQ|2019|12|12|15|30|174900|47.630001|47.32|47.439999|47.369999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|73|NASDAQ|2019|12|11|15|30|243100|47.459999|47.009998|47.400002|47.189999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|74|NASDAQ|2019|12|10|15|30|347300|47.099998|46.799999|46.950001|46.84|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|75|NASDAQ|2019|12|09|15|30|142000|46.959999|46.689999|46.77|46.790001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|76|NASDAQ|2019|12|06|15|30|184600|46.950001|46.849998|46.91|46.849998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|77|NASDAQ|2019|12|05|15|30|159000|46.709999|46.52|46.66|46.57|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|78|NASDAQ|2019|12|04|15|30|1366200|46.68|46.419998|46.68|46.450001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|79|NASDAQ|2019|12|03|15|30|199800|46.41|46.040001|46.41|46.169998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|80|NASDAQ|2019|12|02|15|30|239800|46.709999|46.349998|46.360001|46.709999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|81|NASDAQ|2019|11|29|15|30|104900|46.98|46.759998|46.810001|46.970001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|82|NASDAQ|2019|11|27|15|30|168800|47.150002|46.939999|47.150002|47.09|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|83|NASDAQ|2019|11|26|15|30|234200|47.16|46.98|47.02|47.09|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|84|NASDAQ|2019|11|25|15|30|142500|47.049999|46.900002|46.900002|47.009998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|85|NASDAQ|2019|11|22|15|30|300400|47.18|46.810001|46.900002|46.98|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|86|NASDAQ|2019|11|21|15|30|179200|47.049999|46.810001|46.900002|47.009998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|87|NASDAQ|2019|11|20|15|30|362900|47.139999|46.91|47.099998|46.919998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|88|NASDAQ|2019|11|19|15|30|285500|47.34|47.09|47.119999|47.34|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|89|NASDAQ|2019|11|18|15|30|165800|47.299999|47.110001|47.150002|47.110001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|90|NASDAQ|2019|11|15|15|30|90500|47.09|46.66|47.080002|46.860001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|91|NASDAQ|2019|11|14|15|30|94900|46.740002|46.599998|46.689999|46.599998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|92|NASDAQ|2019|11|13|15|30|250900|46.77|46.380001|46.77|46.380001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|93|NASDAQ|2019|11|12|15|30|278200|46.66|46.459999|46.459999|46.509998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|94|NASDAQ|2019|11|11|15|30|148600|46.720001|46.48|46.5|46.509998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|95|NASDAQ|2019|11|08|15|30|106600|46.669998|46.470001|46.669998|46.470001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|96|NASDAQ|2019|11|07|15|30|105200|46.990002|46.57|46.68|46.959999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|97|NASDAQ|2019|11|06|15|30|220800|47.110001|46.84|46.84|46.950001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|98|NASDAQ|2019|11|05|15|30|110500|47.27|46.900002|47.07|47.27|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|99|NASDAQ|2019|11|04|15|30|264600|47.779999|47.290001|47.419998|47.709999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|100|NASDAQ|2019|11|01|14|30|127900|47.630001|47.330002|47.630001|47.419998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|101|NASDAQ|2019|10|31|14|30|298300|47.169998|46.889999|47.169998|46.939999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|102|NASDAQ|2019|10|30|14|30|181900|47.040001|46.639999|46.860001|46.68|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|103|NASDAQ|2019|10|29|14|30|1149900|46.869999|46.709999|46.779999|46.720001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|104|NASDAQ|2019|10|28|14|30|69300|47.09|46.889999|46.889999|47.02|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|105|NASDAQ|2019|10|25|15|30|89000|47.09|46.91|47.040001|47.02|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|106|NASDAQ|2019|10|24|15|30|251000|47.25|47.080002|47.25|47.16|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|107|NASDAQ|2019|10|23|15|30|207600|47.110001|46.959999|47|46.959999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|108|NASDAQ|2019|10|22|15|30|197600|47.200001|46.919998|47.049999|47.029999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|109|NASDAQ|2019|10|21|15|30|219000|46.950001|46.799999|46.950001|46.93|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|110|NASDAQ|2019|10|18|15|30|568100|46.880001|46.549999|46.84|46.619999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|111|NASDAQ|2019|10|17|15|30|223000|46.849998|46.630001|46.75|46.709999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|112|NASDAQ|2019|10|16|15|30|163300|46.610001|46.43|46.52|46.5|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|113|NASDAQ|2019|10|15|15|30|160000|46.720001|46.330002|46.610001|46.48|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|114|NASDAQ|2019|10|14|15|30|61600|46.610001|46.279999|46.41|46.540001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|115|NASDAQ|2019|10|11|15|30|106000|46.82|46.549999|46.720001|46.709999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|116|NASDAQ|2019|10|10|15|30|269100|46.419998|46.029999|46.419998|46.169998|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|117|NASDAQ|2019|10|09|15|30|364600|46.34|46.040001|46.299999|46.25|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|118|NASDAQ|2019|10|08|15|30|393400|46|45.709999|45.73|46|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|119|NASDAQ|2019|10|07|15|30|455300|46.330002|46.139999|46.18|46.23|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|120|NASDAQ|2019|10|04|15|30|137400|46.369999|45.849998|46.310001|45.900002|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|121|NASDAQ|2019|10|03|15|30|146400|45.950001|45.369999|45.950001|45.630001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|122|NASDAQ|2019|10|02|15|30|164000|45.990002|45.529999|45.689999|45.939999|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|123|NASDAQ|2019|10|01|15|30|403200|46.529999|46.16|46.290001|46.450001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
IGF|124|NASDAQ|2019|09|30|15|30|108100|46.549999|46.349998|46.470001|46.450001|exchangetradedfund|-|-|-|-|3.16|-|usa|-|-|-|-|financial|-|-
