empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GILD|12|NASDAQ|2020|03|11|14|30|32018600|75.379997|72.779999|73.699997|73.900002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|13|NASDAQ|2020|03|10|14|30|27660000|75.559998|68.779999|72.339996|75.510002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|14|NASDAQ|2020|03|09|14|30|32839400|78.190002|73.089996|73.519997|77.919998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|15|NASDAQ|2020|03|06|15|30|31704700|80.400002|75.099998|80.220001|75.32|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|16|NASDAQ|2020|03|05|15|30|22727600|77.5|74.529999|76.129997|75|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|17|NASDAQ|2020|03|04|15|30|23741700|76.010002|72.589996|76.010002|74.900002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|18|NASDAQ|2020|03|03|15|30|24482000|74.82|71.510002|74.209999|74.269997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|19|NASDAQ|2020|03|02|15|30|31113000|75.410004|70.080002|75.400002|70.32|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|20|NASDAQ|2020|02|28|15|30|33804800|71.080002|66.629997|69.360001|70.169998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|21|NASDAQ|2020|02|27|15|30|51482500|78.879997|72.260002|72.660004|78.309998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|22|NASDAQ|2020|02|26|15|30|35000500|75.470001|70.720001|74.699997|71.32|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|23|NASDAQ|2020|02|25|15|30|39199200|73.849998|69.019997|70.099998|73.730003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|24|NASDAQ|2020|02|24|15|30|42905000|74.519997|71.589996|72.900002|73.889999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|25|NASDAQ|2020|02|21|15|30|22478200|69.779999|66.809998|69.699997|67.18|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|26|NASDAQ|2020|02|20|15|30|8697200|67.360001|66.099998|67|67.260002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|27|NASDAQ|2020|02|19|15|30|7754000|67.540001|66.82|67.349998|67.199997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|28|NASDAQ|2020|02|18|15|30|9904700|67.800003|66.709999|67.010002|67.559998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|29|NASDAQ|2020|02|14|15|30|9109100|67.660004|67.040001|67.559998|67.410004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|30|NASDAQ|2020|02|13|15|30|8031000|67.769997|66.519997|66.800003|67.129997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|31|NASDAQ|2020|02|12|15|30|13927100|67.82|66.32|66.949997|67.5|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|32|NASDAQ|2020|02|11|15|30|12858700|68.989998|67.5|67.760002|68.93|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|33|NASDAQ|2020|02|10|15|30|24347800|69.400002|67.610001|68.989998|69.32|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|34|NASDAQ|2020|02|07|15|30|27320100|71.190002|68.389999|68.870003|69.980003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|35|NASDAQ|2020|02|06|15|30|28805500|69.900002|66.050003|68.209999|67.290001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|36|NASDAQ|2020|02|05|15|30|21184500|66.550003|64.07|65.870003|66.220001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|37|NASDAQ|2020|02|04|15|30|15904100|68.010002|66.879997|67.400002|68|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|38|NASDAQ|2020|02|03|15|30|35562000|68.68|65.489998|66.360001|67.739998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|39|NASDAQ|2020|01|31|15|30|11416800|63.93|62.599998|63.200001|63.799999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|40|NASDAQ|2020|01|30|15|30|8771800|64.099998|63.029999|64.029999|63.900002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|41|NASDAQ|2020|01|29|15|30|7071000|65.139999|64.220001|64.300003|64.419998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|42|NASDAQ|2020|01|28|15|30|10241100|64.879997|64.089996|64.360001|64.25|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|43|NASDAQ|2020|01|27|15|30|10421600|64.279999|62.799999|63.830002|63|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|44|NASDAQ|2020|01|24|15|30|18685100|64.199997|62.84|63.150002|64.07|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|45|NASDAQ|2020|01|23|15|30|14648700|64.059998|62.740002|63.939999|63.25|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|46|NASDAQ|2020|01|22|15|30|7906100|63.43|62.599998|63.400002|62.799999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|47|NASDAQ|2020|01|21|15|30|12261100|62.919998|62.23|62.630001|62.91|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|48|NASDAQ|2020|01|17|15|30|13457600|63.5|62.57|62.98|63.5|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|49|NASDAQ|2020|01|16|15|30|10633900|64.379997|63.119999|63.200001|64.290001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|50|NASDAQ|2020|01|15|15|30|7080600|64.93|63.98|64.099998|64.07|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|51|NASDAQ|2020|01|14|15|30|9929700|64.559998|63.91|64.199997|64.410004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|52|NASDAQ|2020|01|13|15|30|6868900|65.260002|64.080002|64.309998|65.050003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|53|NASDAQ|2020|01|10|15|30|5153900|66.089996|64.980003|65.029999|66|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|54|NASDAQ|2020|01|09|15|30|5942300|66.07|65.300003|65.839996|65.809998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|55|NASDAQ|2020|01|08|15|30|6607300|66.239998|64.809998|65.800003|65.110001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|56|NASDAQ|2020|01|07|15|30|8082600|65.290001|64.169998|65.120003|65.260002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|57|NASDAQ|2020|01|06|15|30|8248700|65.830002|64.660004|65.650002|64.669998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|58|NASDAQ|2020|01|03|15|30|4689700|65.370003|64.559998|65.07|64.629997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|59|NASDAQ|2020|01|02|15|30|5038200|65.739998|65.040001|65.230003|65.529999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|60|NASDAQ|2019|12|31|15|30|6984700|65.059998|64.349998|64.980003|64.660004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|61|NASDAQ|2019|12|30|15|30|5864300|66.099998|64.809998|64.93|65.730003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|62|NASDAQ|2019|12|27|15|30|4463900|66.489998|65.709999|65.949997|66.379997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|63|NASDAQ|2019|12|26|15|30|3527400|66.910004|66.150002|66.389999|66.709999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|64|NASDAQ|2019|12|24|15|30|1965800|66.940002|66.290001|66.720001|66.809998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|65|NASDAQ|2019|12|23|15|30|7038200|67.400002|66.540001|66.75|66.699997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|66|NASDAQ|2019|12|20|15|30|23440000|67|65.169998|66.849998|65.589996|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|67|NASDAQ|2019|12|19|15|30|9495300|65.910004|65.160004|65.290001|65.910004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|68|NASDAQ|2019|12|18|15|30|10105600|66.5|65.260002|65.68|66.309998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|69|NASDAQ|2019|12|17|15|30|7881300|66.410004|65.790001|66.199997|66.18|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|70|NASDAQ|2019|12|16|15|30|11647500|66.790001|66.089996|66.120003|66.25|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|71|NASDAQ|2019|12|13|15|30|8198900|66.809998|65.459999|65.769997|66.25|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|72|NASDAQ|2019|12|12|15|30|5732200|68.160004|67.019997|67.629997|67.160004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|73|NASDAQ|2019|12|11|15|30|5589800|67.989998|67.110001|67.779999|67.360001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|74|NASDAQ|2019|12|10|15|30|4272900|67.18|66.129997|67.080002|66.849998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|75|NASDAQ|2019|12|09|15|30|5983700|67.879997|66.830002|66.93|67.18|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|76|NASDAQ|2019|12|06|15|30|4140400|67.550003|66.080002|67.080002|66.43|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|77|NASDAQ|2019|12|05|15|30|5847800|66.949997|65.400002|65.93|66.900002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|78|NASDAQ|2019|12|04|15|30|5093400|67.220001|66.059998|66.75|66.300003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|79|NASDAQ|2019|12|03|15|30|5333300|66.199997|65.169998|66.07|65.790001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|80|NASDAQ|2019|12|02|15|30|7642100|67.519997|65.940002|66.120003|67.25|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|81|NASDAQ|2019|11|29|15|30|2658800|67.360001|66.809998|67.239998|67.040001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|82|NASDAQ|2019|11|27|15|30|4980300|67.489998|66.699997|67.120003|67.279999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|83|NASDAQ|2019|11|26|15|30|6923500|67.650002|66.68|67.279999|66.970001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|84|NASDAQ|2019|11|25|15|30|7492900|67.279999|65.489998|67.220001|65.550003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|85|NASDAQ|2019|11|22|15|30|4589300|65.940002|65.190002|65.260002|65.790001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|86|NASDAQ|2019|11|21|15|30|5392000|65.800003|64.510002|65.730003|65.099998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|87|NASDAQ|2019|11|20|15|30|7633900|65.300003|64.480003|64.879997|64.779999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|88|NASDAQ|2019|11|19|15|30|6135100|65.050003|64.5|65|64.730003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|89|NASDAQ|2019|11|18|15|30|6163600|65.169998|63.720001|64.290001|64.879997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|90|NASDAQ|2019|11|15|15|30|6908600|65.220001|64|65.07|64.160004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|91|NASDAQ|2019|11|14|15|30|7548200|64|62.380001|63.810001|63.23|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|92|NASDAQ|2019|11|13|15|30|4482600|64.150002|63.099998|63.330002|64.150002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|93|NASDAQ|2019|11|12|15|30|4243200|64.860001|64.150002|64.32|64.559998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|94|NASDAQ|2019|11|11|15|30|3696400|65.150002|64.330002|64.639999|65.019997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|95|NASDAQ|2019|11|08|15|30|4953100|65.519997|63.52|65.379997|63.529999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|96|NASDAQ|2019|11|07|15|30|7746000|65.169998|63.439999|63.959999|65.019997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|97|NASDAQ|2019|11|06|15|30|6010500|66.169998|65.07|65.410004|65.629997|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|98|NASDAQ|2019|11|05|15|30|6599100|66.269997|65.190002|65.389999|65.410004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|99|NASDAQ|2019|11|04|15|30|7008700|65.480003|64.029999|65.209999|65.160004|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|100|NASDAQ|2019|11|01|14|30|4956800|64.989998|63.759998|64.660004|63.970001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|101|NASDAQ|2019|10|31|14|30|6438100|63.82|62.740002|63.709999|62.91|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|102|NASDAQ|2019|10|30|14|30|6289200|63.599998|62.669998|63.150002|63.450001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|103|NASDAQ|2019|10|29|14|30|5534100|64|63.25|63.450001|64|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|104|NASDAQ|2019|10|28|14|30|7854600|63.950001|62.779999|63.73|63.630001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|105|NASDAQ|2019|10|25|15|30|12014700|64.269997|62.52|63.32|63|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|106|NASDAQ|2019|10|24|15|30|5555400|66.75|65.629997|66|66.75|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|107|NASDAQ|2019|10|23|15|30|6056100|66.650002|65.529999|66.580002|65.720001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|108|NASDAQ|2019|10|22|15|30|5881800|66.589996|65.669998|65.860001|65.709999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|109|NASDAQ|2019|10|21|15|30|3737000|65.370003|64.800003|65.209999|64.940002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|110|NASDAQ|2019|10|18|15|30|8805600|65.449997|64.199997|64.910004|65.400002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|111|NASDAQ|2019|10|17|15|30|4682600|65.690002|64.779999|65.230003|65.300003|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|112|NASDAQ|2019|10|16|15|30|4854900|65.879997|65|65.349998|65.059998|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|113|NASDAQ|2019|10|15|15|30|5675700|65.739998|64.610001|65.300003|64.830002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|114|NASDAQ|2019|10|14|15|30|4354500|65.019997|63.830002|64.510002|63.830002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|115|NASDAQ|2019|10|11|15|30|5598100|64.489998|63.669998|63.990002|63.950001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|116|NASDAQ|2019|10|10|15|30|5718400|63.41|62|63.259998|62.119999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|117|NASDAQ|2019|10|09|15|30|3516200|62.43|61.759998|61.98|62.290001|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|118|NASDAQ|2019|10|08|15|30|4559800|62.490002|61.369999|61.689999|62.330002|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
GILD|119|NASDAQ|2019|10|07|15|30|5980700|63.580002|62.279999|62.73|62.549999|biotechnology|0.54|3|3.1|17.309999|3.73|11800|usa|1.09|0.98|-0.93|Feb 04 AMC|healthcare|84.599998|93080
