empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
YAYO|43|NASDAQ|2019|11|25|15|30|28400|2.869|2.57|2.57|2.869|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|42|NASDAQ|2019|11|26|15|30|243500|2.57|1.76|2|2.54|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|41|NASDAQ|2019|11|27|15|30|136800|2.15|1.9|2.1|2.01|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|40|NASDAQ|2019|11|29|15|30|49600|2.25|2.1|2.15|2.2|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|3|NASDAQ|2020|01|24|15|30|778400|1.15|1.06|1.14|1.13|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|39|NASDAQ|2019|12|02|15|30|78600|2.23|1.804|1.907|2.13|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|38|NASDAQ|2019|12|03|15|30|20500|1.993|1.8|1.898|1.95|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|37|NASDAQ|2019|12|04|15|30|1100000|2.68|1.55|1.75|2.25|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|36|NASDAQ|2019|12|05|15|30|568400|1.73|1.271|1.55|1.73|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|35|NASDAQ|2019|12|06|15|30|542000|1.73|1.51|1.54|1.51|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|34|NASDAQ|2019|12|09|15|30|127400|1.65|1.43|1.51|1.65|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|33|NASDAQ|2019|12|10|15|30|215100|1.545|1.29|1.4|1.47|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|32|NASDAQ|2019|12|11|15|30|538600|1.6|1.4|1.48|1.45|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|31|NASDAQ|2019|12|12|15|30|208100|1.6|1.411|1.47|1.6|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|30|NASDAQ|2019|12|13|15|30|225600|1.54|1.42|1.51|1.42|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|2|NASDAQ|2020|01|27|15|30|316000|1.14|1.02|1.1|1.11|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|29|NASDAQ|2019|12|16|15|30|280700|1.59|1.31|1.35|1.59|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|28|NASDAQ|2019|12|17|15|30|231700|1.375|1.19|1.26|1.37|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|27|NASDAQ|2019|12|18|15|30|15532700|2.15|1.41|1.64|1.65|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|26|NASDAQ|2019|12|19|15|30|1054600|1.6|1.46|1.53|1.57|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|25|NASDAQ|2019|12|20|15|30|1175800|1.66|1.45|1.45|1.51|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|24|NASDAQ|2019|12|23|15|30|3782800|1.74|1.46|1.53|1.68|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|23|NASDAQ|2019|12|24|15|30|839400|1.59|1.46|1.52|1.49|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|22|NASDAQ|2019|12|26|15|30|521000|1.54|1.39|1.47|1.54|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|21|NASDAQ|2019|12|27|15|30|457600|1.45|1.31|1.38|1.45|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|20|NASDAQ|2019|12|30|15|30|253900|1.4|1.25|1.35|1.4|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|1|NASDAQ|2020|01|28|15|30|3558000|1.5|1.06|1.41|1.07|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|19|NASDAQ|2019|12|31|15|30|140600|1.35|1.281|1.33|1.31|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|18|NASDAQ|2020|01|02|15|30|493900|1.45|1.33|1.44|1.35|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|17|NASDAQ|2020|01|03|15|30|137400|1.44|1.37|1.38|1.44|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|16|NASDAQ|2020|01|06|15|30|359600|1.46|1.31|1.34|1.32|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|15|NASDAQ|2020|01|07|15|30|273600|1.42|1.346|1.37|1.37|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|14|NASDAQ|2020|01|08|15|30|258300|1.36|1.28|1.28|1.29|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|13|NASDAQ|2020|01|09|15|30|413800|1.339|1.25|1.27|1.32|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|12|NASDAQ|2020|01|10|15|30|485700|1.285|1.1|1.18|1.25|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|11|NASDAQ|2020|01|13|15|30|633400|1.27|1.07|1.22|1.22|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|10|NASDAQ|2020|01|14|15|30|1388700|1.34|1.16|1.32|1.23|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
YAYO|0|NASDAQ|2020|01|29|15|30|911200|1.4|1.21|1.23|1.3|applicationsoftware|34.799999|0|0|-|-|21|usa|-|-|-|-|technology|12.1
