empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CLCT|16|NASDAQ|2020|03|09|14|30|52000|21.540001|20.040001|20.24|21.08|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|17|NASDAQ|2020|03|06|15|30|46800|23.33|21.719999|22.190001|23.26|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|18|NASDAQ|2020|03|05|15|30|46800|24.41|23.309999|23.440001|24.32|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|19|NASDAQ|2020|03|04|15|30|39100|24.84|24.07|24.549999|24.309999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|20|NASDAQ|2020|03|03|15|30|68000|24.74|23.85|24.09|24|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|21|NASDAQ|2020|03|02|15|30|52300|24.370001|22.59|24.15|23.01|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|22|NASDAQ|2020|02|28|15|30|91500|23.379999|22.530001|23.01|23.07|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|23|NASDAQ|2020|02|27|15|30|78600|24.700001|23.27|23.5|23.690001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|24|NASDAQ|2020|02|26|15|30|49500|24.26|23.549999|24|24.129999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|25|NASDAQ|2020|02|25|15|30|64200|24.5|24.040001|24.26|24.33|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|26|NASDAQ|2020|02|24|15|30|43500|25.030001|24.1|24.34|24.17|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|27|NASDAQ|2020|02|21|15|30|39300|24.77|24.08|24.75|24.5|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|28|NASDAQ|2020|02|20|15|30|43300|25.1|24.27|24.75|24.450001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|29|NASDAQ|2020|02|19|15|30|76000|25.129999|24.280001|24.5|24.809999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|30|NASDAQ|2020|02|18|15|30|41800|25.43|24.57|24.73|25.18|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|31|NASDAQ|2020|02|14|15|30|62700|25.950001|25.25|25.389999|25.860001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|32|NASDAQ|2020|02|13|15|30|51000|26.280001|25.450001|25.74|26.15|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|33|NASDAQ|2020|02|12|15|30|47700|26.879999|26.280001|26.43|26.459999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|34|NASDAQ|2020|02|11|15|30|74000|26.73|25.9|26.440001|26.35|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|35|NASDAQ|2020|02|10|15|30|51300|27.27|26.129999|26.33|26.690001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|36|NASDAQ|2020|02|07|15|30|58200|28.219999|26.620001|26.709999|28.209999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|37|NASDAQ|2020|02|06|15|30|77700|28.709999|27.02|28.219999|28.5|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|38|NASDAQ|2020|02|05|15|30|124600|29.219999|26.700001|28.5|26.780001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|39|NASDAQ|2020|02|04|15|30|95700|26|25|25.190001|25.389999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|40|NASDAQ|2020|02|03|15|30|61000|25.48|24.610001|25.23|24.610001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|41|NASDAQ|2020|01|31|15|30|81500|24.959999|24.42|24.559999|24.790001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|42|NASDAQ|2020|01|30|15|30|50400|24.91|24.280001|24.790001|24.280001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|43|NASDAQ|2020|01|29|15|30|64600|24.459999|23.73|24.440001|24.07|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|44|NASDAQ|2020|01|28|15|30|63300|24.59|23.76|24.07|24.450001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|45|NASDAQ|2020|01|27|15|30|55400|24.58|23.82|24.33|24.030001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|46|NASDAQ|2020|01|24|15|30|63700|25.040001|24.190001|24.450001|24.690001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|47|NASDAQ|2020|01|23|15|30|69500|24.83|23.51|24.620001|24.209999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|48|NASDAQ|2020|01|22|15|30|61800|24.76|23.950001|24.26|24.66|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|49|NASDAQ|2020|01|21|15|30|90800|24.950001|24.48|24.58|24.74|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|50|NASDAQ|2020|01|17|15|30|113300|24.969999|24.190001|24.83|24.43|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|51|NASDAQ|2020|01|16|15|30|74200|24.4|23.559999|24.299999|23.559999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|52|NASDAQ|2020|01|15|15|30|45200|23.530001|23.02|23.530001|23.120001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|53|NASDAQ|2020|01|14|15|30|46200|23.59|22.950001|23.209999|23.139999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|54|NASDAQ|2020|01|13|15|30|91700|23.290001|22.57|23.129999|22.639999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|55|NASDAQ|2020|01|10|15|30|35200|22.85|22.41|22.66|22.85|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|56|NASDAQ|2020|01|09|15|30|44800|23.5|22.74|22.879999|22.74|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|57|NASDAQ|2020|01|08|15|30|82900|22.969999|22.440001|22.639999|22.59|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|58|NASDAQ|2020|01|07|15|30|82600|23.08|22.41|22.66|22.709999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|59|NASDAQ|2020|01|06|15|30|71100|22.91|22.18|22.709999|22.370001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|60|NASDAQ|2020|01|03|15|30|69700|22.690001|22|22.41|22.58|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|61|NASDAQ|2020|01|02|15|30|52700|23.139999|22.6|22.790001|23|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|62|NASDAQ|2019|12|31|15|30|143300|23.65|23.030001|23.049999|23.24|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|63|NASDAQ|2019|12|30|15|30|46600|23.85|23.219999|23.299999|23.690001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|64|NASDAQ|2019|12|27|15|30|58300|24.200001|23.33|23.629999|24.190001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|65|NASDAQ|2019|12|26|15|30|112900|24.18|23.18|24.139999|23.870001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|66|NASDAQ|2019|12|24|15|30|54000|23.969999|23.129999|23.879999|23.450001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|67|NASDAQ|2019|12|23|15|30|66800|24.049999|22.719999|23.49|22.879999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|68|NASDAQ|2019|12|20|15|30|214700|23.389999|22.66|22.879999|23.16|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|69|NASDAQ|2019|12|19|15|30|86800|23.5|23.02|23.129999|23.27|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|70|NASDAQ|2019|12|18|15|30|94000|23.66|23.09|23.209999|23.35|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|71|NASDAQ|2019|12|17|15|30|106800|23.709999|22.99|23.309999|23.66|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|72|NASDAQ|2019|12|16|15|30|72000|24.52|23.43|23.639999|24.219999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|73|NASDAQ|2019|12|13|15|30|44800|24.85|24.139999|24.27|24.360001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|74|NASDAQ|2019|12|12|15|30|67500|24.93|24.15|24.370001|24.41|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|75|NASDAQ|2019|12|11|15|30|79700|24.58|24.139999|24.4|24.49|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|76|NASDAQ|2019|12|10|15|30|65000|25.1|24.120001|24.49|24.26|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|77|NASDAQ|2019|12|09|15|30|74900|25.25|24.25|24.299999|25.200001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|78|NASDAQ|2019|12|06|15|30|64500|26.24|25.120001|25.35|26.110001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|79|NASDAQ|2019|12|05|15|30|54300|26.49|25.610001|26.040001|26.049999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|80|NASDAQ|2019|12|04|15|30|48600|26.719999|25.799999|26.129999|26.42|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|81|NASDAQ|2019|12|03|15|30|63900|26.34|25.65|26.24|26.129999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|82|NASDAQ|2019|12|02|15|30|40300|26.379999|25.780001|26.25|26.219999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|83|NASDAQ|2019|11|29|15|30|21100|26.83|26.23|26.27|26.83|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|84|NASDAQ|2019|11|27|15|30|50100|27.290001|26.780001|26.870001|27.030001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|85|NASDAQ|2019|11|26|15|30|49500|27.25|26.559999|26.879999|26.860001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|86|NASDAQ|2019|11|25|15|30|47100|27.299999|26.110001|26.83|26.35|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|87|NASDAQ|2019|11|22|15|30|45000|26.76|26.219999|26.370001|26.610001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|88|NASDAQ|2019|11|21|15|30|44400|27|25.950001|26.530001|26.26|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|89|NASDAQ|2019|11|20|15|30|96700|26.379999|25.52|26.120001|26.290001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|90|NASDAQ|2019|11|19|15|30|81300|27.690001|25.85|26.08|27.58|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|91|NASDAQ|2019|11|18|15|30|58000|28.530001|27.26|27.74|28.23|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|92|NASDAQ|2019|11|15|15|30|66200|28.76|27.76|28.18|28.01|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|93|NASDAQ|2019|11|14|15|30|64100|28.85|27.969999|28|28.4|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|94|NASDAQ|2019|11|13|15|30|64700|28.82|27.51|28.57|27.879999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|95|NASDAQ|2019|11|12|15|30|69400|28.309999|27.67|27.91|27.82|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|96|NASDAQ|2019|11|11|15|30|58600|27.700001|27.129999|27.549999|27.209999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|97|NASDAQ|2019|11|08|15|30|63500|27.940001|27.17|27.290001|27.809999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|98|NASDAQ|2019|11|07|15|30|71700|28.049999|27.620001|27.85|27.620001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|99|NASDAQ|2019|11|06|15|30|67100|27.639999|27|27.5|27.33|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|100|NASDAQ|2019|11|05|15|30|70900|27.950001|26.99|27.34|26.99|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|101|NASDAQ|2019|11|04|15|30|115300|26.959999|25.76|26.91|26|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|102|NASDAQ|2019|11|01|14|30|167600|28.83|25.33|25.51|28.049999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|103|NASDAQ|2019|10|31|14|30|55900|29.48|28.280001|28.66|29.299999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|104|NASDAQ|2019|10|30|14|30|47500|29.76|29|29.5|29.24|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|105|NASDAQ|2019|10|29|14|30|56000|29.74|29.01|29.280001|29.4|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|106|NASDAQ|2019|10|28|14|30|80000|30.24|29.27|29.42|29.99|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|107|NASDAQ|2019|10|25|15|30|61500|29.860001|29.33|29.82|29.41|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|108|NASDAQ|2019|10|24|15|30|66300|29.68|28.799999|29.459999|29.18|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|109|NASDAQ|2019|10|23|15|30|107100|29.280001|28.58|29.209999|28.65|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|110|NASDAQ|2019|10|22|15|30|142700|29.969999|28.549999|28.67|29.01|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|111|NASDAQ|2019|10|21|15|30|62400|28.969999|28.049999|28.959999|28.049999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|112|NASDAQ|2019|10|18|15|30|73000|28.34|27.809999|28.190001|28.16|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|113|NASDAQ|2019|10|17|15|30|78100|28.49|27.85|28.26|28.08|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|114|NASDAQ|2019|10|16|15|30|69300|28.120001|27.450001|28.07|27.690001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|115|NASDAQ|2019|10|15|15|30|65900|28.360001|27.610001|27.690001|28.059999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|116|NASDAQ|2019|10|14|15|30|64700|28.389999|27.559999|28.059999|28.24|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|117|NASDAQ|2019|10|11|15|30|64300|29.120001|28.299999|28.43|28.85|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|118|NASDAQ|2019|10|10|15|30|59400|29.16|28.299999|28.66|28.969999|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|119|NASDAQ|2019|10|09|15|30|81800|29.049999|28.040001|28.83|28.34|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|120|NASDAQ|2019|10|08|15|30|83600|28.940001|27.92|28.200001|28.5|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|121|NASDAQ|2019|10|07|15|30|34600|29.43|28.610001|28.690001|29.23|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|122|NASDAQ|2019|10|04|15|30|93000|29.629999|28.950001|29.120001|29.280001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|123|NASDAQ|2019|10|03|15|30|67600|29.379999|28.309999|29.280001|28.84|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|124|NASDAQ|2019|10|02|15|30|108300|28.93|27.26|28.9|28.370001|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
CLCT|125|NASDAQ|2019|10|01|15|30|90800|29.27|28.389999|28.43|28.98|businessservices|2.1|1.7|1.8|11.22|4.47|377|usa|0.09|0.06|-|May 05 AMC|services|69.900002|158.270004
