empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
USLV|22|NASDAQ|2020|02|19|15|30|464200|98.75|94.529999|98.75|95.360001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|23|NASDAQ|2020|02|18|15|30|559900|95.099998|90.419998|94.860001|91.080002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|24|NASDAQ|2020|02|14|15|30|239300|88.5|87.339996|87.339996|88.400002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|25|NASDAQ|2020|02|13|15|30|237700|87.550003|86.050003|86.139999|87.150002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|26|NASDAQ|2020|02|12|15|30|283100|85.339996|83.699997|84.18|84.510002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|27|NASDAQ|2020|02|11|15|30|276200|87.550003|85.260002|86.639999|87.269997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|28|NASDAQ|2020|02|10|15|30|178000|89.279999|87.639999|88.580002|88.209999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|29|NASDAQ|2020|02|07|15|30|203600|89.029999|86.5|87.349998|88.809998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|30|NASDAQ|2020|02|06|15|30|263400|89.489998|87.75|88.849998|89.309998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|31|NASDAQ|2020|02|05|15|30|201900|86.690002|85.18|86.349998|86.209999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|32|NASDAQ|2020|02|04|15|30|262500|87.599998|84.769997|86.25|87.279999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|33|NASDAQ|2020|02|03|15|30|505400|88.970001|85.830002|86.989998|88.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|34|NASDAQ|2020|01|31|15|30|331500|93.5|90.010002|92.510002|90.190002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|35|NASDAQ|2020|01|30|15|30|603900|92.660004|88.610001|89.980003|90.620003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|36|NASDAQ|2020|01|29|15|30|348700|86.07|83.540001|85.599998|83.800003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|37|NASDAQ|2020|01|28|15|30|905300|89.199997|83.849998|84.459999|88.849998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|38|NASDAQ|2020|01|27|15|30|283900|96.980003|93.349998|94.220001|96.910004|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|39|NASDAQ|2020|01|24|15|30|384100|94.970001|90.68|94.459999|90.68|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|40|NASDAQ|2020|01|23|15|30|222400|90.660004|88.650002|89.769997|88.720001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|41|NASDAQ|2020|01|22|15|30|119800|91.699997|89.790001|90.309998|91.32|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|42|NASDAQ|2020|01|21|15|30|435600|91.059998|87.129997|89.889999|87.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|43|NASDAQ|2020|01|17|15|30|255300|94.290001|91.830002|93.239998|93.309998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|44|NASDAQ|2020|01|16|15|30|142600|93.129997|91.440002|92.419998|92.470001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|45|NASDAQ|2020|01|15|15|30|277700|93.709999|91.410004|93.010002|92.050003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|46|NASDAQ|2020|01|14|15|30|341100|90.940002|88.800003|90.279999|89.970001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|47|NASDAQ|2020|01|13|15|30|196600|93.879997|91.910004|92.830002|93.769997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|48|NASDAQ|2020|01|10|15|30|319400|95.599998|92.949997|94.370003|93.309998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|49|NASDAQ|2020|01|09|15|30|336600|92.510002|90.099998|91.949997|91.779999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|50|NASDAQ|2020|01|08|15|30|742300|99.949997|94.360001|95.300003|99.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|51|NASDAQ|2020|01|07|15|30|497500|100.330002|95.589996|99.68|96.190002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|52|NASDAQ|2020|01|06|15|30|638500|99.949997|93.940002|95.940002|99.790001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|53|NASDAQ|2020|01|03|15|30|483700|96.190002|93.730003|94.07|95.57|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|54|NASDAQ|2020|01|02|15|30|338500|95.339996|92.910004|93.970001|94.169998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|55|NASDAQ|2019|12|31|15|30|333700|93.889999|91.139999|91.800003|93.32|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|56|NASDAQ|2019|12|30|15|30|274200|93.449997|91.849998|92.68|92.160004|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|57|NASDAQ|2019|12|27|15|30|361600|93.910004|90.260002|90.449997|92.669998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|58|NASDAQ|2019|12|26|15|30|474000|95.25|90.959999|93.18|94.040001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|59|NASDAQ|2019|12|24|15|30|314300|91|88.419998|90.709999|88.550003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|60|NASDAQ|2019|12|23|15|30|262400|86|83.769997|85.650002|83.769997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|61|NASDAQ|2019|12|20|15|30|252300|83.089996|80.68|81.75|82.400002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|62|NASDAQ|2019|12|19|15|30|257000|81.150002|78.800003|80.419998|79.370003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|63|NASDAQ|2019|12|18|15|30|134100|79.800003|78.550003|79.800003|78.620003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|64|NASDAQ|2019|12|17|15|30|168700|80.209999|78.980003|79.5|79.949997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|65|NASDAQ|2019|12|16|15|30|263600|80.400002|79.050003|79.949997|79.669998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|66|NASDAQ|2019|12|13|15|30|261600|79.199997|77.309998|78.769997|78.019997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|67|NASDAQ|2019|12|12|15|30|355400|80.639999|76.269997|78.879997|80.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|68|NASDAQ|2019|12|11|15|30|298800|79|74.790001|77.760002|75.110001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|69|NASDAQ|2019|12|10|15|30|137600|75.5|74.260002|74.879997|75.099998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|70|NASDAQ|2019|12|09|15|30|314500|74.309998|73.620003|73.879997|73.940002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|71|NASDAQ|2019|12|06|15|30|829200|76.860001|73.059998|73.769997|75.559998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|72|NASDAQ|2019|12|05|15|30|259600|80.059998|77.82|79.199997|77.910004|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|73|NASDAQ|2019|12|04|15|30|385500|81.160004|77.150002|77.919998|81.160004|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|74|NASDAQ|2019|12|03|15|30|330500|83.050003|82|82.529999|82.220001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|75|NASDAQ|2019|12|02|15|30|165100|80.080002|78.550003|78.919998|78.809998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|76|NASDAQ|2019|11|29|15|30|163100|80.919998|78.559998|80.599998|78.900002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|77|NASDAQ|2019|11|27|15|30|196200|80.610001|79.529999|79.839996|79.849998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|78|NASDAQ|2019|11|26|15|30|187700|82.279999|78.25|82.239998|79.720001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|79|NASDAQ|2019|11|25|15|30|143600|80.720001|79.199997|79.269997|79.529999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|80|NASDAQ|2019|11|22|15|30|166200|82.68|80.699997|80.82|82.400002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|81|NASDAQ|2019|11|21|15|30|193900|83.330002|81.830002|82.400002|82.589996|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|82|NASDAQ|2019|11|20|15|30|233200|83.260002|81.330002|83.260002|82.330002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|83|NASDAQ|2019|11|19|15|30|271400|83.400002|80.589996|82.889999|80.699997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|84|NASDAQ|2019|11|18|15|30|283400|81.660004|80.239998|81.43|80.879997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|85|NASDAQ|2019|11|15|15|30|188900|80.900002|79.360001|80.089996|79.419998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|86|NASDAQ|2019|11|14|15|30|200200|82|79.129997|81.209999|80.279999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|87|NASDAQ|2019|11|13|15|30|242700|80.949997|79|80.080002|79.739998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|88|NASDAQ|2019|11|12|15|30|340900|78.400002|75.870003|78.349998|77.940002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|89|NASDAQ|2019|11|11|15|30|273700|79.480003|76.160004|78.830002|78.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|90|NASDAQ|2019|11|08|15|30|469700|80.699997|78.129997|78.129997|79.129997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|91|NASDAQ|2019|11|07|15|30|878000|90.269997|80.580002|82.629997|90.029999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|92|NASDAQ|2019|11|06|15|30|307000|91.099998|89.290001|90.879997|90.019997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|93|NASDAQ|2019|11|05|15|30|505800|93.510002|89.440002|90.75|92.949997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|94|NASDAQ|2019|11|04|15|30|228800|99.620003|96.639999|97.790001|98.93|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|95|NASDAQ|2019|11|01|14|30|238400|98.989998|97|98.800003|97.870003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|96|NASDAQ|2019|10|31|14|30|374500|100|96.93|98.800003|97.839996|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|97|NASDAQ|2019|10|30|14|30|279700|95.389999|90.580002|95.370003|94.68|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|98|NASDAQ|2019|10|29|14|30|219900|95.639999|91.620003|94.279999|91.940002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|99|NASDAQ|2019|10|28|14|30|232400|96.870003|93.959999|94.699997|96.870003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|100|NASDAQ|2019|10|25|15|30|546000|102.019997|94.970001|98.370003|101.760002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|101|NASDAQ|2019|10|24|15|30|376900|94.889999|93.099998|94.129997|93.800003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|102|NASDAQ|2019|10|23|15|30|113400|91.300003|90.07|90.160004|90.489998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|103|NASDAQ|2019|10|22|15|30|149400|91.190002|88.599998|90.019997|90.150002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|104|NASDAQ|2019|10|21|15|30|309600|95.099998|89.949997|90.5|94.660004|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|105|NASDAQ|2019|10|18|15|30|212000|91.199997|89.540001|90.510002|89.860001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|106|NASDAQ|2019|10|17|15|30|250900|91.919998|89.800003|90.400002|90.360001|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|107|NASDAQ|2019|10|16|15|30|226200|88.529999|86.330002|88.080002|87.760002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|108|NASDAQ|2019|10|15|15|30|231600|90.419998|87.540001|88.050003|90.209999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|109|NASDAQ|2019|10|14|15|30|218200|93.110001|90.639999|92.230003|90.849998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|110|NASDAQ|2019|10|11|15|30|370100|90.940002|87.540001|90.18|90.440002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|111|NASDAQ|2019|10|10|15|30|312800|92.099998|88.800003|90.370003|92.099998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|112|NASDAQ|2019|10|09|15|30|259300|95.580002|93.150002|94.529999|95.5|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|113|NASDAQ|2019|10|08|15|30|426600|95.220001|92.43|94.370003|94.279999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|114|NASDAQ|2019|10|07|15|30|203400|91.849998|88.900002|89.349998|90.300003|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|115|NASDAQ|2019|10|04|15|30|310600|91.93|88.400002|91.199997|89.059998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|116|NASDAQ|2019|10|03|15|30|509300|95.040001|90.470001|91.720001|90.510002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|117|NASDAQ|2019|10|02|15|30|570300|93.18|89.040001|91.559998|89.889999|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
USLV|118|NASDAQ|2019|10|01|15|30|540400|87.870003|83.470001|87|84.169998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
