empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FDNI|25|NASDAQ|2020|01|30|15|30|3100|25.200001|24.799999|25.200001|25.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|26|NASDAQ|2020|01|29|15|30|4300|25.43|25.33|25.33|25.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|27|NASDAQ|2020|01|28|15|30|500|24.98|24.93|24.950001|24.93|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|28|NASDAQ|2020|01|27|15|30|42000|24.870001|24.4|24.700001|24.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|29|NASDAQ|2020|01|24|15|30|5400|25.709999|25.27|25.469999|25.469999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|30|NASDAQ|2020|01|23|15|30|6800|25.700001|25.110001|25.58|25.700001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|31|NASDAQ|2020|01|22|15|30|3000|26.32|25.809999|25.870001|26.32|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|32|NASDAQ|2020|01|21|15|30|60000|25.959999|25.75|25.76|25.959999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|33|NASDAQ|2020|01|17|15|30|5100|26.32|26.17|26.23|26.32|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|34|NASDAQ|2020|01|16|15|30|9800|26.790001|26.1|26.16|26.790001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|35|NASDAQ|2020|01|15|15|30|6800|26.209999|26.040001|26.1|26.15|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|36|NASDAQ|2020|01|14|15|30|1000|26.459999|25.93|26.08|26.459999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|37|NASDAQ|2020|01|13|15|30|8100|26.549999|26.07|26.290001|26.549999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|38|NASDAQ|2020|01|10|15|30|3600|25.969999|25.76|25.84|25.76|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|39|NASDAQ|2020|01|09|15|30|17700|25.709999|25.450001|25.59|25.6|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|40|NASDAQ|2020|01|08|15|30|4400|25.59|25.290001|25.360001|25.290001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|41|NASDAQ|2020|01|07|15|30|12000|25.6|25.219999|25.290001|25.6|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|42|NASDAQ|2020|01|06|15|30|1900|25.190001|24.940001|25.01|25.190001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|43|NASDAQ|2020|01|03|15|30|6100|25.34|24.950001|24.950001|25.34|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|44|NASDAQ|2020|01|02|15|30|8900|25.299999|25.040001|25.190001|25.059999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|45|NASDAQ|2019|12|31|15|30|3300|24.540001|24.440001|24.540001|24.48|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|46|NASDAQ|2019|12|30|15|30|9900|24.809999|24.450001|24.52|24.76|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|47|NASDAQ|2019|12|27|15|30|5800|24.879999|24.559999|24.790001|24.879999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|48|NASDAQ|2019|12|26|15|30|6100|24.700001|24.49|24.49|24.549999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|49|NASDAQ|2019|12|24|15|30|1800|24.549999|24.450001|24.52|24.450001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|50|NASDAQ|2019|12|23|15|30|4900|24.67|24.379999|24.469999|24.67|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|51|NASDAQ|2019|12|20|15|30|5100|24.58|24.219999|24.219999|24.58|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|52|NASDAQ|2019|12|19|15|30|4600|24.190001|23.99|24.09|24.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|53|NASDAQ|2019|12|18|15|30|3600|24.059999|23.959999|23.969999|24|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|54|NASDAQ|2019|12|17|15|30|1100|23.9|23.84|23.84|23.9|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|55|NASDAQ|2019|12|16|15|30|200|23.68|23.65|23.68|23.65|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|56|NASDAQ|2019|12|13|15|30|15500|23.540001|23.07|23.23|23.07|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|57|NASDAQ|2019|12|12|15|30|5400|23.43|23.129999|23.27|23.43|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|58|NASDAQ|2019|12|11|15|30|500|23.129999|23.059999|23.129999|23.059999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|59|NASDAQ|2019|12|10|15|30|3200|23.370001|22.870001|22.870001|23.370001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|60|NASDAQ|2019|12|09|15|30|1700|23.16|22.969999|22.969999|23.16|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|61|NASDAQ|2019|12|06|15|30|300|23.200001|23.17|23.17|23.200001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|62|NASDAQ|2019|12|05|15|30|7800|22.969999|22.860001|22.940001|22.91|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|63|NASDAQ|2019|12|04|15|30|600|22.870001|22.83|22.85|22.870001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|64|NASDAQ|2019|12|03|15|30|0|22.73|22.73|22.73|22.73|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|65|NASDAQ|2019|12|02|15|30|1300|23.34|22.610001|22.73|23.34|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|66|NASDAQ|2019|11|29|15|30|1000|23|23|23|23|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|67|NASDAQ|2019|11|27|15|30|100|23.110001|23.1|23.110001|23.1|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|68|NASDAQ|2019|11|26|15|30|100|22.82|22.82|22.82|22.82|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|69|NASDAQ|2019|11|25|15|30|900|22.950001|22.799999|22.82|22.950001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|70|NASDAQ|2019|11|22|15|30|400|22.91|22.91|22.91|22.91|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|71|NASDAQ|2019|11|21|15|30|1000|22.59|22.59|22.59|22.59|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|72|NASDAQ|2019|11|20|15|30|0|22.33|22.33|22.33|22.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|73|NASDAQ|2019|11|19|15|30|0|22.33|22.33|22.33|22.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|74|NASDAQ|2019|11|18|15|30|0|22.33|22.33|22.33|22.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|75|NASDAQ|2019|11|15|15|30|200|22.33|22.33|22.33|22.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|76|NASDAQ|2019|11|14|15|30|0|22.49|22.49|22.49|22.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|77|NASDAQ|2019|11|13|15|30|100|22.49|22.49|22.49|22.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|78|NASDAQ|2019|11|12|15|30|100|22.49|22.49|22.49|22.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|79|NASDAQ|2019|11|11|15|30|100|22.49|22.49|22.49|22.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|80|NASDAQ|2019|11|08|15|30|200|22.49|22.49|22.49|22.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|81|NASDAQ|2019|11|07|15|30|600|22.389999|22.389999|22.389999|22.389999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|82|NASDAQ|2019|11|06|15|30|100|22.18|22.18|22.18|22.18|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|83|NASDAQ|2019|11|05|15|30|600|22.18|22.18|22.18|22.18|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|84|NASDAQ|2019|11|04|15|30|400|22.41|22.25|22.25|22.41|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|85|NASDAQ|2019|11|01|14|30|0|21.540001|21.540001|21.540001|21.540001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|86|NASDAQ|2019|10|31|14|30|100|21.540001|21.540001|21.540001|21.540001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|87|NASDAQ|2019|10|30|14|30|100|21.540001|21.540001|21.540001|21.540001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|88|NASDAQ|2019|10|29|14|30|400|21.700001|21.58|21.58|21.700001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|89|NASDAQ|2019|10|28|14|30|100|21.809999|21.809999|21.809999|21.809999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|90|NASDAQ|2019|10|25|15|30|700|21.48|21.33|21.48|21.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|91|NASDAQ|2019|10|24|15|30|100|21.110001|21.110001|21.110001|21.110001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|92|NASDAQ|2019|10|23|15|30|2600|21.16|20.85|21.110001|20.85|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|93|NASDAQ|2019|10|22|15|30|300|21.709999|21.709999|21.709999|21.709999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|94|NASDAQ|2019|10|21|15|30|100|21.91|21.91|21.91|21.91|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|95|NASDAQ|2019|10|18|15|30|100|21.91|21.91|21.91|21.91|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|96|NASDAQ|2019|10|17|15|30|1100|21.91|21.879999|21.91|21.879999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|97|NASDAQ|2019|10|16|15|30|100|21.77|21.77|21.77|21.77|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|98|NASDAQ|2019|10|15|15|30|2500|21.860001|21.77|21.77|21.799999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|99|NASDAQ|2019|10|14|15|30|0|21.49|21.49|21.49|21.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|100|NASDAQ|2019|10|11|15|30|2900|21.65|21.49|21.49|21.65|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|101|NASDAQ|2019|10|10|15|30|1100|21.24|21.129999|21.24|21.129999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|102|NASDAQ|2019|10|09|15|30|100|20.68|20.68|20.68|20.68|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|103|NASDAQ|2019|10|08|15|30|900|20.98|20.68|20.68|20.98|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|104|NASDAQ|2019|10|07|15|30|5700|21.16|21|21.07|21|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|105|NASDAQ|2019|10|04|15|30|100|20.709999|20.709999|20.709999|20.709999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|106|NASDAQ|2019|10|03|15|30|100|20.709999|20.709999|20.709999|20.709999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|107|NASDAQ|2019|10|02|15|30|600|20.709999|20.709999|20.709999|20.709999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|108|NASDAQ|2019|10|01|15|30|300|20.959999|20.780001|20.780001|20.959999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|109|NASDAQ|2019|09|30|15|30|200|21.030001|21.030001|21.030001|21.030001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|110|NASDAQ|2019|09|27|15|30|800|21.309999|20.700001|20.700001|21.309999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|111|NASDAQ|2019|09|26|15|30|100|21.33|21.33|21.33|21.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|112|NASDAQ|2019|09|25|15|30|600|21.530001|21.120001|21.120001|21.530001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|113|NASDAQ|2019|09|24|15|30|100|21.65|21.65|21.65|21.65|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|114|NASDAQ|2019|09|23|15|30|0|22.379999|22.379999|22.379999|22.379999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|115|NASDAQ|2019|09|20|15|30|0|22.379999|22.379999|22.379999|22.379999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|116|NASDAQ|2019|09|19|15|30|0|22.379999|22.379999|22.379999|22.379999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|117|NASDAQ|2019|09|18|15|30|100|22.379999|22.379999|22.379999|22.379999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|118|NASDAQ|2019|09|17|15|30|100|22.389999|22.389999|22.389999|22.389999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|119|NASDAQ|2019|09|16|15|30|700|22.48|22.389999|22.389999|22.48|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|120|NASDAQ|2019|09|13|15|30|0|22.440001|22.440001|22.440001|22.440001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|121|NASDAQ|2019|09|12|15|30|100|22.440001|22.440001|22.440001|22.440001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|122|NASDAQ|2019|09|11|15|30|13300|22.450001|22.24|22.440001|22.24|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|123|NASDAQ|2019|09|10|15|30|900|22.08|22.07|22.07|22.08|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|124|NASDAQ|2019|09|09|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|125|NASDAQ|2019|09|06|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|126|NASDAQ|2019|09|05|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|127|NASDAQ|2019|09|04|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|128|NASDAQ|2019|09|03|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|129|NASDAQ|2019|08|30|15|30|0|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|130|NASDAQ|2019|08|29|15|30|200|22.09|22.09|22.09|22.09|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|131|NASDAQ|2019|08|28|15|30|0|21.68|21.68|21.68|21.68|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|132|NASDAQ|2019|08|27|15|30|600|21.68|21.68|21.68|21.68|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|133|NASDAQ|2019|08|26|15|30|400|21.790001|21.52|21.790001|21.52|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|134|NASDAQ|2019|08|23|15|30|300|21.48|21.48|21.48|21.48|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|135|NASDAQ|2019|08|22|15|30|200|21.85|21.85|21.85|21.85|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|136|NASDAQ|2019|08|21|15|30|0|21.959999|21.959999|21.959999|21.959999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|137|NASDAQ|2019|08|20|15|30|2400|21.959999|21.719999|21.959999|21.889999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|138|NASDAQ|2019|08|19|15|30|600|21.75|21.74|21.75|21.74|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|139|NASDAQ|2019|08|16|15|30|0|20.610001|20.610001|20.610001|20.610001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|140|NASDAQ|2019|08|15|15|30|1400|20.98|20.610001|20.610001|20.98|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|141|NASDAQ|2019|08|14|15|30|2100|20.950001|20.889999|20.9|20.889999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|142|NASDAQ|2019|08|13|15|30|1300|21.5|21.49|21.5|21.49|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|143|NASDAQ|2019|08|12|15|30|100|21.43|21.15|21.309999|21.4|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|144|NASDAQ|2019|08|09|15|30|2100|21.43|21.15|21.309999|21.4|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|145|NASDAQ|2019|08|08|15|30|3200|21.5|21.24|21.49|21.24|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|146|NASDAQ|2019|08|07|15|30|0|20.780001|20.780001|20.780001|20.780001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|147|NASDAQ|2019|08|06|15|30|300|20.98|20.780001|20.780001|20.98|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|148|NASDAQ|2019|08|05|15|30|3000|21.629999|21.629999|21.629999|21.629999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|149|NASDAQ|2019|08|02|15|30|1600|21.68|21.629999|21.629999|21.639999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|150|NASDAQ|2019|08|01|15|30|1700|22.059999|21.76|21.879999|21.76|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|151|NASDAQ|2019|07|31|15|30|300|22.110001|22.110001|22.110001|22.110001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|152|NASDAQ|2019|07|30|15|30|100|23.15|22.35|22.360001|23.15|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|153|NASDAQ|2019|07|29|15|30|9300|23.15|22.35|22.360001|23.15|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|154|NASDAQ|2019|07|26|15|30|62700|22.559999|22.469999|22.51|22.52|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|155|NASDAQ|2019|07|25|15|30|200|22.33|21.16|21.16|22.33|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|156|NASDAQ|2019|07|24|15|30|100|22.389999|22.389999|22.389999|22.389999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|157|NASDAQ|2019|07|23|15|30|1700|22.209999|22.200001|22.200001|22.200001|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
FDNI|158|NASDAQ|2019|07|22|15|30|1400|22.129999|22.01|22.059999|22.129999|exchangetradedfund|-|-|-|-|3.07|-|usa|-|-|-|-|financial|-|-
