empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FORD|47|NASDAQ|2019|12|27|15|30|11300|1|0.99|0.99|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|48|NASDAQ|2019|12|26|15|30|14200|1.05|0.98|1.03|0.99|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|49|NASDAQ|2019|12|24|15|30|12800|1.05|0.98|0.99|0.98|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|50|NASDAQ|2019|12|23|15|30|10300|1.03|0.99|1.01|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|51|NASDAQ|2019|12|20|15|30|18800|1.03|0.99|1.03|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|52|NASDAQ|2019|12|19|15|30|18800|1.05|0.98|1|1.05|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|53|NASDAQ|2019|12|18|15|30|25800|1.02|0.98|1.02|0.98|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|54|NASDAQ|2019|12|17|15|30|22000|1|0.95|1|0.99|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|55|NASDAQ|2019|12|16|15|30|40400|1.01|0.92|1|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|56|NASDAQ|2019|12|13|15|30|11100|1|0.97|1|0.97|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|57|NASDAQ|2019|12|12|15|30|8900|1.01|0.98|0.99|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|58|NASDAQ|2019|12|11|15|30|4500|1.01|0.98|1.01|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|59|NASDAQ|2019|12|10|15|30|10800|1.02|0.99|1|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|60|NASDAQ|2019|12|09|15|30|10100|1.04|0.99|1.03|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|61|NASDAQ|2019|12|06|15|30|6000|1.06|0.99|0.99|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|62|NASDAQ|2019|12|05|15|30|9400|1.06|1.01|1.03|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|63|NASDAQ|2019|12|04|15|30|5500|1.06|1.01|1.01|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|64|NASDAQ|2019|12|03|15|30|5000|1.06|1.01|1.01|1.06|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|65|NASDAQ|2019|12|02|15|30|22300|1.1|1.02|1.04|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|66|NASDAQ|2019|11|29|15|30|1200|1.02|1.02|1.02|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|67|NASDAQ|2019|11|27|15|30|17300|1.03|0.99|1.03|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|68|NASDAQ|2019|11|26|15|30|48100|1.03|0.99|1.03|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|69|NASDAQ|2019|11|25|15|30|17900|1.02|0.97|1.01|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|70|NASDAQ|2019|11|22|15|30|10300|1.01|0.99|1.01|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|71|NASDAQ|2019|11|21|15|30|5000|1|0.99|0.99|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|72|NASDAQ|2019|11|20|15|30|8900|1.03|0.99|0.99|0.99|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|73|NASDAQ|2019|11|19|15|30|7400|1.03|0.99|0.99|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|74|NASDAQ|2019|11|18|15|30|4600|1.01|0.98|0.98|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|75|NASDAQ|2019|11|15|15|30|4600|1.02|0.98|1.01|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|76|NASDAQ|2019|11|14|15|30|8900|1.02|0.98|0.99|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|77|NASDAQ|2019|11|13|15|30|4500|1.03|0.99|1.02|0.99|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|78|NASDAQ|2019|11|12|15|30|7900|1.02|1|1.01|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|79|NASDAQ|2019|11|11|15|30|11100|1.03|1.01|1.02|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|80|NASDAQ|2019|11|08|15|30|600|1.04|1.03|1.03|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|81|NASDAQ|2019|11|07|15|30|3400|1.06|1.03|1.03|1.06|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|82|NASDAQ|2019|11|06|15|30|5600|1.06|1.03|1.05|1.06|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|83|NASDAQ|2019|11|05|15|30|8100|1.06|1.01|1.06|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|84|NASDAQ|2019|11|04|15|30|12800|1.08|1.03|1.04|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|85|NASDAQ|2019|11|01|14|30|8000|1.08|1.02|1.06|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|86|NASDAQ|2019|10|31|14|30|4800|1.08|1.02|1.04|1.07|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|87|NASDAQ|2019|10|30|14|30|15700|1.1|1.05|1.07|1.07|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|88|NASDAQ|2019|10|29|14|30|24200|1.08|1.04|1.08|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|89|NASDAQ|2019|10|28|14|30|9100|1.05|1.03|1.03|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|90|NASDAQ|2019|10|25|15|30|14400|1.04|1.02|1.02|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|91|NASDAQ|2019|10|24|15|30|3100|1.07|1.03|1.03|1.06|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|92|NASDAQ|2019|10|23|15|30|9900|1.08|1.03|1.08|1.08|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|93|NASDAQ|2019|10|22|15|30|16600|1.06|0.98|1.06|0.98|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|94|NASDAQ|2019|10|21|15|30|64700|1.06|0.98|0.99|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|95|NASDAQ|2019|10|18|15|30|31200|1.05|1|1.05|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|96|NASDAQ|2019|10|17|15|30|442400|1.35|0.95|1.08|1.06|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|97|NASDAQ|2019|10|16|15|30|18500|1.02|0.94|0.99|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|98|NASDAQ|2019|10|15|15|30|9200|1.01|0.99|0.99|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|99|NASDAQ|2019|10|14|15|30|8300|1.03|0.95|1.02|1.03|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|100|NASDAQ|2019|10|11|15|30|8300|1.03|0.99|1.02|0.99|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|101|NASDAQ|2019|10|10|15|30|21800|1.05|1|1|1.04|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|102|NASDAQ|2019|10|09|15|30|2000|1.04|1.02|1.04|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|103|NASDAQ|2019|10|08|15|30|10000|1.09|0.98|1.02|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|104|NASDAQ|2019|10|07|15|30|15600|1.06|0.97|1.03|1.01|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|105|NASDAQ|2019|10|04|15|30|44500|1.06|0.98|1.01|1.05|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|106|NASDAQ|2019|10|03|15|30|55800|0.98|0.97|0.97|0.98|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|107|NASDAQ|2019|10|02|15|30|70400|1.05|0.85|0.92|1.05|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|108|NASDAQ|2019|10|01|15|30|13300|1.02|0.98|0.99|1.02|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|109|NASDAQ|2019|09|30|15|30|58800|1|0.95|0.97|1|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|110|NASDAQ|2019|09|27|15|30|256100|1.12|0.78|0.85|1.12|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|111|NASDAQ|2019|09|26|15|30|7600|1.12|1.11|1.12|1.11|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|112|NASDAQ|2019|09|25|15|30|13100|1.15|1.1|1.1|1.13|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|113|NASDAQ|2019|09|24|15|30|1700|1.14|1.12|1.14|1.12|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|114|NASDAQ|2019|09|23|15|30|2700|1.15|1.12|1.12|1.15|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|115|NASDAQ|2019|09|20|15|30|6500|1.17|1.12|1.17|1.12|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|116|NASDAQ|2019|09|19|15|30|10800|1.17|1.13|1.14|1.17|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|117|NASDAQ|2019|09|18|15|30|10900|1.18|1.15|1.15|1.17|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|118|NASDAQ|2019|09|17|15|30|7900|1.17|1.11|1.16|1.11|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|119|NASDAQ|2019|09|16|15|30|13200|1.18|1.1|1.13|1.14|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|120|NASDAQ|2019|09|13|15|30|44600|1.2|1.15|1.17|1.15|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|121|NASDAQ|2019|09|12|15|30|15600|1.19|1.16|1.18|1.19|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|122|NASDAQ|2019|09|11|15|30|20400|1.18|1.16|1.17|1.16|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|123|NASDAQ|2019|09|10|15|30|16200|1.21|1.15|1.16|1.15|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
FORD|124|NASDAQ|2019|09|09|15|30|7100|1.17|1.11|1.14|1.11|textileapparelfootwearaccessories|2.1|1.3|1.4|-|-|73|usa|0.39|0|-|Mar 27 AMC|consumergoods|13.9|9.65
