empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SASR|10|NASDAQ|2020|03|11|14|30|373600|26.530001|25.190001|25.43|25.809999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|11|NASDAQ|2020|03|10|14|30|558600|28.43|26.129999|26.4|28.16|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|12|NASDAQ|2020|03|09|14|30|233200|30.889999|27.049999|27.129999|28.83|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|13|NASDAQ|2020|03|06|15|30|186500|31.01|30.059999|30.530001|30.280001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|14|NASDAQ|2020|03|05|15|30|129700|31.84|30.870001|31.219999|31.58|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|15|NASDAQ|2020|03|04|15|30|140800|32.490002|31.639999|32.450001|32.16|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|16|NASDAQ|2020|03|03|15|30|165400|33.41|31.66|31.969999|32.799999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|17|NASDAQ|2020|03|02|15|30|188100|32.830002|30.549999|32.830002|30.76|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|18|NASDAQ|2020|02|28|15|30|241800|32.009998|30.209999|30.76|31.280001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|19|NASDAQ|2020|02|27|15|30|171800|33.619999|32.189999|32.189999|32.799999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|20|NASDAQ|2020|02|26|15|30|156400|34.02|33.25|33.27|33.75|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|21|NASDAQ|2020|02|25|15|30|169300|34.400002|33.25|33.549999|34.330002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|22|NASDAQ|2020|02|24|15|30|144700|34.599998|33.869999|34.400002|34.290001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|23|NASDAQ|2020|02|21|15|30|102700|35.43|35.049999|35.240002|35.43|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|24|NASDAQ|2020|02|20|15|30|133200|35.700001|35.119999|35.52|35.119999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|25|NASDAQ|2020|02|19|15|30|145100|35.560001|35.25|35.290001|35.259998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|26|NASDAQ|2020|02|18|15|30|95200|35.490002|35.07|35.169998|35.25|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|27|NASDAQ|2020|02|14|15|30|97600|35.73|35.419998|35.450001|35.639999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|28|NASDAQ|2020|02|13|15|30|168700|35.720001|35.310001|35.599998|35.310001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|29|NASDAQ|2020|02|12|15|30|99600|35.82|35.380001|35.490002|35.709999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|30|NASDAQ|2020|02|11|15|30|125100|35.790001|35.18|35.41|35.18|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|31|NASDAQ|2020|02|10|15|30|89500|35.52|35.16|35.450001|35.279999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|32|NASDAQ|2020|02|07|15|30|117200|35.73|35.23|35.360001|35.689999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|33|NASDAQ|2020|02|06|15|30|97200|36.470001|35.860001|35.869999|36.389999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|34|NASDAQ|2020|02|05|15|30|119400|36.259998|35.669998|36.23|35.889999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|35|NASDAQ|2020|02|04|15|30|112800|35.75|35.400002|35.5|35.490002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|36|NASDAQ|2020|02|03|15|30|138200|35.23|34.779999|35.119999|35.009998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|37|NASDAQ|2020|01|31|15|30|166800|35.040001|34.740002|34.799999|35.040001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|38|NASDAQ|2020|01|30|15|30|104400|35.189999|34.380001|35.189999|34.52|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|39|NASDAQ|2020|01|29|15|30|107500|35.540001|34.720001|34.73|35.380001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|40|NASDAQ|2020|01|28|15|30|87600|35.689999|35.299999|35.389999|35.549999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|41|NASDAQ|2020|01|27|15|30|112100|35.68|35.07|35.34|35.110001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|42|NASDAQ|2020|01|24|15|30|136100|36.790001|35.700001|35.869999|36.549999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|43|NASDAQ|2020|01|23|15|30|226100|36.689999|35.040001|36.380001|36.5|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|44|NASDAQ|2020|01|22|15|30|79700|36.439999|36.09|36.189999|36.439999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|45|NASDAQ|2020|01|21|15|30|140200|36.849998|36.18|36.27|36.849998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|46|NASDAQ|2020|01|17|15|30|98200|37.25|36.900002|36.939999|37.25|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|47|NASDAQ|2020|01|16|15|30|145200|37.009998|36.189999|36.950001|36.529999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|48|NASDAQ|2020|01|15|15|30|130000|36.860001|36.16|36.349998|36.860001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|49|NASDAQ|2020|01|14|15|30|130300|37.369999|36.889999|36.970001|37.169998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|50|NASDAQ|2020|01|13|15|30|182700|37.240002|36.900002|37.200001|37.110001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|51|NASDAQ|2020|01|10|15|30|176000|37.650002|37.009998|37.110001|37.529999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|52|NASDAQ|2020|01|09|15|30|225100|37.759998|37.470001|37.59|37.599998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|53|NASDAQ|2020|01|08|15|30|235400|37.669998|37.029999|37.5|37.16|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|54|NASDAQ|2020|01|07|15|30|274800|37.939999|37.189999|37.32|37.939999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|55|NASDAQ|2020|01|06|15|30|337800|38.09|37.799999|37.98|38|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|56|NASDAQ|2020|01|03|15|30|314600|38.450001|37.740002|38.25|38|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|57|NASDAQ|2020|01|02|15|30|359500|38.23|37.900002|38.16|37.959999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|58|NASDAQ|2019|12|31|15|30|134100|38.139999|37.75|37.880001|37.900002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|59|NASDAQ|2019|12|30|15|30|170800|38.150002|37.799999|38.009998|37.939999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|60|NASDAQ|2019|12|27|15|30|193700|38.110001|37.790001|37.869999|38.110001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|61|NASDAQ|2019|12|26|15|30|182200|38.139999|37.849998|38.060001|38.139999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|62|NASDAQ|2019|12|24|15|30|107800|38.25|37.959999|38.029999|38.25|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|63|NASDAQ|2019|12|23|15|30|340000|38.330002|37.959999|38.130001|38.130001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|64|NASDAQ|2019|12|20|15|30|368600|38.16|37.5|38.130001|37.599998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|65|NASDAQ|2019|12|19|15|30|260900|37.610001|36.799999|37.509998|36.98|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|66|NASDAQ|2019|12|18|15|30|158600|37.169998|36.77|36.860001|37.169998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|67|NASDAQ|2019|12|17|15|30|155500|37.099998|36.599998|37.029999|36.700001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|68|NASDAQ|2019|12|16|15|30|164300|36.93|36.220001|36.740002|36.27|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|69|NASDAQ|2019|12|13|15|30|99100|36.389999|35.939999|36.18|36.349998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|70|NASDAQ|2019|12|12|15|30|194200|36.48|35.720001|36.400002|35.939999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|71|NASDAQ|2019|12|11|15|30|115800|35.98|35.650002|35.869999|35.830002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|72|NASDAQ|2019|12|10|15|30|122800|35.880001|35.540001|35.860001|35.650002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|73|NASDAQ|2019|12|09|15|30|133000|35.75|35.470001|35.619999|35.580002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|74|NASDAQ|2019|12|06|15|30|158300|35.810001|35.5|35.560001|35.5|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|75|NASDAQ|2019|12|05|15|30|112000|35.490002|35.169998|35.200001|35.490002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|76|NASDAQ|2019|12|04|15|30|132900|35.509998|35.240002|35.299999|35.41|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|77|NASDAQ|2019|12|03|15|30|207200|35.310001|34.639999|35.169998|35|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|78|NASDAQ|2019|12|02|15|30|130100|35.720001|35.240002|35.279999|35.540001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|79|NASDAQ|2019|11|29|15|30|59700|35.700001|35.34|35.360001|35.52|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|80|NASDAQ|2019|11|27|15|30|123900|35.759998|35.380001|35.619999|35.759998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|81|NASDAQ|2019|11|26|15|30|143300|35.950001|35.52|35.560001|35.689999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|82|NASDAQ|2019|11|25|15|30|255600|35.799999|35.209999|35.73|35.290001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|83|NASDAQ|2019|11|22|15|30|141200|35.299999|35.049999|35.259998|35.25|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|84|NASDAQ|2019|11|21|15|30|149100|35.450001|34.91|35.23|35.389999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|85|NASDAQ|2019|11|20|15|30|183600|35.59|35.07|35.189999|35.220001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|86|NASDAQ|2019|11|19|15|30|146600|35.389999|35.110001|35.23|35.290001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|87|NASDAQ|2019|11|18|15|30|121800|35.450001|35.009998|35.27|35.290001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|88|NASDAQ|2019|11|15|15|30|145100|35.369999|34.98|35.209999|35.369999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|89|NASDAQ|2019|11|14|15|30|84000|35.220001|34.810001|35.130001|35.119999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|90|NASDAQ|2019|11|13|15|30|89000|35.169998|34.790001|35.099998|34.970001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|91|NASDAQ|2019|11|12|15|30|166900|35.43|35.049999|35.240002|35.43|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|92|NASDAQ|2019|11|11|15|30|79000|35.700001|35.330002|35.619999|35.540001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|93|NASDAQ|2019|11|08|15|30|74300|35.77|35.389999|35.66|35.52|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|94|NASDAQ|2019|11|07|15|30|95700|36.169998|35.470001|35.639999|36.029999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|95|NASDAQ|2019|11|06|15|30|91400|35.77|35.369999|35.669998|35.66|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|96|NASDAQ|2019|11|05|15|30|89900|35.98|35.459999|35.740002|35.849998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|97|NASDAQ|2019|11|04|15|30|146000|35.599998|35.119999|35.529999|35.490002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|98|NASDAQ|2019|11|01|14|30|89000|35.169998|34.540001|35.130001|34.57|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|99|NASDAQ|2019|10|31|14|30|167600|34.630001|33.759998|34.5|34.630001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|100|NASDAQ|2019|10|30|14|30|110300|35.02|34.43|34.740002|35.02|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|101|NASDAQ|2019|10|29|14|30|102800|35.139999|34.59|35.049999|34.639999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|102|NASDAQ|2019|10|28|14|30|114600|34.830002|34.369999|34.779999|34.41|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|103|NASDAQ|2019|10|25|15|30|99700|34.549999|34.040001|34.310001|34.040001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|104|NASDAQ|2019|10|24|15|30|97900|34.540001|33.84|34.09|34.459999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|105|NASDAQ|2019|10|23|15|30|89800|34.779999|34.220001|34.470001|34.529999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|106|NASDAQ|2019|10|22|15|30|118300|34.91|34.439999|34.560001|34.619999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|107|NASDAQ|2019|10|21|15|30|226500|34.830002|33.950001|34.799999|34.049999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|108|NASDAQ|2019|10|18|15|30|127800|33.959999|33.619999|33.849998|33.779999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|109|NASDAQ|2019|10|17|15|30|189900|34.68|33.380001|34.049999|33.790001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|110|NASDAQ|2019|10|16|15|30|161400|33.470001|33.150002|33.419998|33.169998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|111|NASDAQ|2019|10|15|15|30|108600|33.439999|32.849998|33.23|32.919998|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|112|NASDAQ|2019|10|14|15|30|75500|33.150002|32.810001|32.900002|32.950001|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|113|NASDAQ|2019|10|11|15|30|170000|33.68|33.200001|33.220001|33.459999|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|114|NASDAQ|2019|10|10|15|30|166900|33.259998|32.880001|33.040001|32.93|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|115|NASDAQ|2019|10|09|15|30|64100|33.16|32.830002|32.880001|33.16|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|116|NASDAQ|2019|10|08|15|30|171500|33.23|32.720001|32.91|33.23|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|117|NASDAQ|2019|10|07|15|30|141700|33.740002|33.220001|33.450001|33.240002|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
SASR|118|NASDAQ|2019|10|04|15|30|363100|33.689999|33.040001|33.48|33.25|regionalmidatlanticbanks|0.5|-|-|6.85|5.39|932|usa|0.18|0.18|9.53|Apr 23 BMO|financial|80.400002|794.700012
